序号,名称,B站动漫社UID,B站相应账号名称,是否有术力口社团,B站术力口社团UID,名称
1,中国人民大学,148774,界娘love临界动漫协会,否,,
2,东北大学,178030,幻幻の幻酱,否,,
3,广东轻工职业技术大学,218836,自由天空动漫协会,否,,
4,西安交通大学,220317,史妍小九_official,否,,
5,浙江大学,468981,FANTASY动漫社,否,,
6,江南大学,562049,MIRROR镜像COS社,否,,
7,广西大学,703592,西西漫画研究社,否,,
8,河北医科大学,768962,四叶草动漫社,否,,
9,北京理工大学,1402501,黑白漫画社,否,,
10,太原工业学院,1425950,镜界动漫社,否,,
11,浙江工商大学,1625797,顶点动漫社,否,,
12,河北工程大学,1904727,幻想乡の动漫社,否,,
13,无锡太湖学院,2257142,绯殇琉璃动漫社,否,,
14,南京传媒学院,2692103,十三月公馆,否,,
15,华东师范大学,2768669,华东师大音乐协会,否,,
16,南京邮电大学,4220962,南邮柒世纪动漫社,否,,
17,中山大学,4267184,青椒子--,是,3546835322931330,中术大学
18,大连海事大学,4453022,深蓝动漫社,否,,
19,中国科学技术大学,4517387,饭团动漫社,否,,
20,广州新华学院,4559265,广州新华现视研,否,,
21,清华大学,6553194,清华学生次世代动漫社,否,,
22,山东农业大学,6686942,山农大漫之翼动漫社,否,,
23,南京工程学院,6932519,积木之森动漫社,否,,
24,海南师范大学,6995180,空白konber,否,,
25,中国科学技术大学,7021308,中科大LEO动漫协会,是,381317768,USTC歌声合成技术协会
26,天津滨海职业学院,7071961,龙猫动漫社,否,,
27,湖北中医药大学,7231166,SEED动漫社,否,,
28,广东环境保护工程职业学院,7320418,羽汐动漫社,否,,
29,西南交通大学,7789529,MARACLE动漫社,否,,
30,苏州大学,8272387,苏州大学OUR动漫事务所,否,,
31,广州华南商贸职业学院,8315284,广华商友间动漫社,否,,
32,广东文艺职业学院,9080506,七式动漫社,否,,
33,郑州大学,9500353,FLY动漫社-,否,,
34,湖北工业大学,10025730,Ariel动漫社,否,,
35,中南财经政法大学,10284760,中南大东西动漫社,否,,
36,西南财经大学,10358055,与田动漫社,否,,
37,华中农业大学,10617912,FOM动漫协会,否,,
38,广东外语外贸大学南国商学院,10683286,广外南国Buka漫协,否,,
39,北京交通大学,10778739,佐佑动漫社,否,,
40,泉州师范学院,11321310,泉师i尚动漫社,否,,
41,上海建桥学院,11407711,云之彼端动漫社官方,否,,
42,宜宾学院,11850309,布拉斯托邦动漫社,否,,
43,江苏海事学院,11923808,江苏海事STAND动漫社,否,,
44,南京航空航天大学金城学院,12013502,原_漫嘉动漫游社,否,,
45,四川美术学院,12502043,重庆制造动漫社团,否,,
46,湖北大学,12591903,湖北大学FD动漫社,否,,
